henri-matisse,/en/henri-matisse/notre-dame-sunrise-1902,A Glimpse of Notre-Dame in the Late Afternoon,1902,Fauvism,cityscape,cityscape,https://uploads8.wikiart.org/images/henri-matisse/notre-dame-sunrise-1902.jpg!Large.jpg
henri-matisse,/en/henri-matisse/luxury-serenity-and-pleasure-1904,"Luxury, Calm and Pleasure",1904,Pointillism,Neo-Impressionism,genre painting,https://uploads6.wikiart.org/00328/images/henri-matisse/27e7298361019cf75646fbbd17a18cca.jpg!Large.jpg
henri-matisse,/en/henri-matisse/woman-with-hat-1905,Woman with a Hat,1905,Fauvism,portrait,portrait,https://uploads4.wikiart.org/images/henri-matisse/woman-with-hat-1905.jpg!Large.jpg
henri-matisse,/en/henri-matisse/the-joy-of-life-1906,The Joy of Life,1906,Fauvism,genre painting,genre painting,https://uploads5.wikiart.org/images/henri-matisse/the-joy-of-life-1906.jpg!Large.jpg
henri-matisse,/en/henri-matisse/the-young-sailor-ii-1906,The Young Sailor II,1906,Expressionism,portrait,portrait,https://uploads0.wikiart.org/images/henri-matisse/the-young-sailor-ii-1906.jpg!Large.jpg
henri-matisse,/en/henri-matisse/the-blue-nude-souvenir-of-biskra-1907,The Blue Nude (Souvenir of Biskra),1907,Fauvism,nude painting (nu),nude painting (nu),https://uploads4.wikiart.org/images/henri-matisse/the-blue-nude-souvenir-of-biskra-1907.jpg!Large.jpg
henri-matisse,/en/henri-matisse/dance-ii-1910,Dance (II),1910,Expressionism,Fauvism,genre painting,https://uploads7.wikiart.org/images/henri-matisse/dance-ii-1910.jpg!Large.jpg
henri-matisse,/en/henri-matisse/music-1910,Music,1910,Expressionism,Fauvism,genre painting,https://uploads4.wikiart.org/images/henri-matisse/music-1910.jpg!Large.jpg
henri-matisse,/en/henri-matisse/moroccan-caf-1913,Moroccan Café,1913,Fauvism,genre painting,genre painting,https://uploads1.wikiart.org/images/henri-matisse/moroccan-caf-1913.jpg
henri-matisse,/en/henri-matisse/bathers-by-a-river-1916,Bathers by a River,1916,Cubism,genre painting,genre painting,https://uploads8.wikiart.org/images/henri-matisse/bathers-by-a-river-1916.jpg!Large.jpg
henri-matisse,/en/henri-matisse/the-moraccans-1916,The Moroccans,1916,Cubism,genre painting,genre painting,https://uploads3.wikiart.org/images/henri-matisse/the-moraccans-1916.jpg!Large.jpg
henri-matisse,/en/henri-matisse/the-dance-1933-1,The Dance,1933,Expressionism,genre painting,genre painting,https://uploads1.wikiart.org/images/henri-matisse/the-dance-1933-1.jpg!Large.jpg
henri-matisse,/en/henri-matisse/the-circus-1943,The Circus,1943,Abstract Expressionism,Jazz Book,figurative,https://uploads0.wikiart.org/images/henri-matisse/the-circus-1943.jpg!Large.jpg
henri-matisse,/en/henri-matisse/icarus-1944,Icarus,1944,Abstract Expressionism,Jazz Book,illustration,https://uploads5.wikiart.org/images/henri-matisse/icarus-1944.jpg!Large.jpg
henri-matisse,/en/henri-matisse/white-torso-and-blue-torso-1944,White Torso and Blue Torso,1944,Abstract Expressionism,Jazz Book,figurative,https://uploads6.wikiart.org/images/henri-matisse/white-torso-and-blue-torso-1944.jpg
henri-matisse,/en/henri-matisse/the-beasts-of-the-sea-1950,The Beasts of the Sea,1950,Abstract Expressionism,figurative,figurative,https://uploads2.wikiart.org/images/henri-matisse/the-beasts-of-the-sea-1950.jpg!Large.jpg
henri-matisse,/en/henri-matisse/blue-nude-1952,Blue Nude II,1952,Abstract Expressionism,nude painting (nu),nude painting (nu),https://uploads8.wikiart.org/images/henri-matisse/blue-nude-1952.jpg!Large.jpg
henri-matisse,/en/henri-matisse/the-king-s-sadness-1952,The King's Sadness,1952,Abstract Expressionism,figurative,figurative,https://uploads7.wikiart.org/images/henri-matisse/the-king-s-sadness-1952.jpg
henri-matisse,/en/henri-matisse/the-snail-1953,The Snail,1953,Abstract Art,Color Field Painting,abstract,https://uploads8.wikiart.org/images/henri-matisse/the-snail-1953.jpg!Large.jpg
henri-matisse,/en/henri-matisse/la-gerbe-1953,La gerbe,1953,Abstract Expressionism,figurative,figurative,https://uploads6.wikiart.org/images/henri-matisse/la-gerbe-1953.jpg
