paula-rego,/en/paula-rego/untitled-1964,Untitled,1964,Surrealism,abstract,abstract,https://uploads4.wikiart.org/images/paula-rego/untitled-1964.jpg!Large.jpg
paula-rego,/en/paula-rego/the-maids-1987,The Maids,1987,Expressionism,genre painting,genre painting,https://uploads5.wikiart.org/images/paula-rego/the-maids-1987.jpg!Large.jpg
paula-rego,/en/paula-rego/the-family-1988,The Family,1988,Expressionism,genre painting,genre painting,https://uploads6.wikiart.org/images/paula-rego/the-family-1988.jpg!Large.jpg
paula-rego,/en/paula-rego/the-fitting-1989,The Fitting,1989,Expressionism,genre painting,genre painting,https://uploads6.wikiart.org/images/paula-rego/the-fitting-1989.jpg
paula-rego,/en/paula-rego/bride-1994,Bride,1994,Expressionism,genre painting,genre painting,https://uploads0.wikiart.org/images/paula-rego/bride-1994.jpg
paula-rego,/en/paula-rego/dancing-ostriches-1995,Dancing Ostriches,1995,Expressionism,literary painting,literary painting,https://uploads4.wikiart.org/images/paula-rego/dancing-ostriches-1995.jpg!Large.jpg
paula-rego,/en/paula-rego/snow-white-swallows-the-poisoned-apple-1995,Snow White Swallows the Poisoned Apple,1995,Expressionism,literary painting,literary painting,https://uploads7.wikiart.org/images/paula-rego/snow-white-swallows-the-poisoned-apple-1995.jpg!Large.jpg
paula-rego,/en/paula-rego/the-guardian-2008,The Guardian,2008,Expressionism,genre painting,genre painting,https://uploads8.wikiart.org/images/paula-rego/the-guardian-2008.jpg!Large.jpg
paula-rego,/en/paula-rego/war-2003,War,2003,Expressionism,Surrealism,symbolic painting,https://uploads8.wikiart.org/images/paula-rego/war-2003.jpg!Large.jpg
paula-rego,/en/paula-rego/olga-2003,Olga,2003,Expressionism,portrait,portrait,https://uploads0.wikiart.org/images/paula-rego/olga-2003.jpg!Large.jpg
paula-rego,/en/paula-rego/come-to-me-2001,Come to Me,2001,Expressionism,illustration,illustration,https://uploads6.wikiart.org/images/paula-rego/come-to-me-2001.jpg!Large.jpg
paula-rego,/en/paula-rego/celestina-s-house-2001,Celestina's House,2001,Expressionism,literary painting,literary painting,https://uploads3.wikiart.org/images/paula-rego/celestina-s-house-2001.jpg
paula-rego,/en/paula-rego/the-interrogator-s-garden-2000,The Interrogator's Garden,2000,Expressionism,portrait,portrait,https://uploads2.wikiart.org/images/paula-rego/the-interrogator-s-garden-2000.jpg
paula-rego,/en/paula-rego/whinney-moor-1996,Whinney Moor,1996,Expressionism,genre painting,genre painting,https://uploads8.wikiart.org/images/paula-rego/whinney-moor-1996.jpg!Large.jpg
paula-rego,/en/paula-rego/pomagne-1996,Pomagne,1996,Expressionism,genre painting,genre painting,https://uploads3.wikiart.org/images/paula-rego/pomagne-1996.jpg!Large.jpg
paula-rego,/en/paula-rego/pendle-witches-1996,Pendle Witches,1996,Expressionism,genre painting,genre painting,https://uploads1.wikiart.org/images/paula-rego/pendle-witches-1996.jpg!Large.jpg
paula-rego,/en/paula-rego/moth-1996,Moth,1996,Expressionism,genre painting,genre painting,https://uploads0.wikiart.org/images/paula-rego/moth-1996.jpg!Large.jpg
paula-rego,/en/paula-rego/mist-iv-1996,Mist IV,1996,Expressionism,genre painting,genre painting,https://uploads3.wikiart.org/images/paula-rego/mist-iv-1996.jpg!Large.jpg
paula-rego,/en/paula-rego/mist-iii-1996,Mist III,1996,Expressionism,genre painting,genre painting,https://uploads4.wikiart.org/images/paula-rego/mist-iii-1996.jpg!Large.jpg
paula-rego,/en/paula-rego/mist-ii-1996,Mist II,1996,Expressionism,genre painting,genre painting,https://uploads3.wikiart.org/images/paula-rego/mist-ii-1996.jpg!Large.jpg
